minutes_to_metro,number_of_rooms,area,living_area,kitchen_area,floor,number_of_floors,distance_to_centre,type_secondary,price
15.0,4.0,135.3,95.9,6.0,37.0,41,5.15,1,125000000.0
4.0,4.0,170.0,120.0,20.7,5.0,6,3.02,1,155000000.0
8.0,4.0,240.0,40.0,26.5,14.0,14,3.93,1,221000000.0
2.0,4.0,270.0,138.6,29.0,9.0,11,1.98,1,249990000.0
16.0,4.0,203.4,105.0,23.5,10.0,17,8.35,1,130000000.0
6.0,4.0,179.2,92.7,21.5,2.0,6,4.8,1,155000000.0
8.0,4.0,140.0,72.9,18.2,5.0,15,4.8,1,156000000.0
7.0,4.0,186.8,96.6,22.1,7.0,11,4.8,1,180000000.0
9.0,4.0,169.0,87.6,20.6,6.0,6,0.94,1,92000000.0
12.0,4.0,136.5,94.7,7.3,23.0,41,7.14,1,120000000.0
6.0,4.0,179.2,92.7,21.5,2.0,12,4.8,1,155000000.0
7.0,4.0,187.0,96.7,22.1,7.0,11,4.8,1,180000000.0
6.0,4.0,121.0,63.3,16.7,4.0,7,1.37,1,130000000.0
6.0,4.0,297.0,91.7,19.0,3.0,3,2.8,1,50000000.0
19.0,4.0,186.4,96.4,22.1,11.0,44,8.35,1,80000000.0
5.0,4.0,133.5,49.5,17.7,10.0,21,5.0,1,132000000.0
10.0,4.0,171.0,88.6,20.8,4.0,6,4.8,1,185000000.0
10.0,4.0,133.1,10.0,17.7,6.0,14,4.8,1,155000000.0
3.0,4.0,128.0,10.0,17.2,2.0,5,1.42,1,281600000.0
7.0,4.0,95.6,50.5,14.5,18.0,19,5.15,1,57990000.0
11.0,4.0,161.0,96.0,15.0,2.0,6,1.65,1,85000000.0
5.0,4.0,145.2,110.0,20.0,7.0,14,3.93,1,87000000.0
6.0,4.0,225.7,116.2,25.3,3.0,9,1.42,1,169275000.0
5.0,4.0,170.0,88.1,20.7,6.0,8,3.93,1,204000000.0
6.0,4.0,185.0,15.0,21.9,5.0,8,1.37,1,250000000.0
2.0,4.0,120.8,63.2,16.6,4.0,6,2.55,1,53000000.0
8.0,4.0,186.6,89.0,27.0,7.0,11,4.8,1,180000000.0
9.0,4.0,140.0,40.0,18.2,4.0,8,2.72,1,179000000.0
5.0,4.0,147.0,111.0,12.0,15.0,24,8.35,1,83000000.0
8.0,4.0,128.9,67.3,17.3,10.0,16,4.15,1,93000000.0
6.0,4.0,179.2,94.2,19.4,2.0,5,4.8,1,155000000.0
12.0,4.0,145.0,100.0,20.0,4.0,32,5.5,1,59900000.0
11.0,4.0,105.0,55.2,15.3,6.0,8,4.15,1,65000000.0
25.0,4.0,184.5,100.0,20.0,8.0,8,5.21,1,70000000.0
8.0,4.0,132.0,70.0,15.0,2.0,4,13.2,1,81700000.0
12.0,4.0,118.0,10.0,16.4,3.0,7,0.8,1,104500000.0
6.0,4.0,121.0,14.9,16.7,3.0,7,1.76,1,120000000.0
10.0,4.0,170.0,25.0,20.7,7.0,12,3.93,1,163990000.0
5.0,4.0,116.0,80.0,15.0,4.0,14,8.35,1,61488700.0
5.0,4.0,185.0,95.7,21.9,8.0,8,5.21,1,70000000.0
5.0,4.0,165.0,140.0,20.3,8.0,15,5.15,1,74700000.0
25.0,4.0,184.5,20.0,21.9,8.0,8,5.21,1,70000000.0
6.0,4.0,85.8,15.0,13.7,11.0,11,5.15,1,62970000.0
16.0,4.0,195.2,20.0,22.8,5.0,5,2.32,1,176400000.0
10.0,4.0,116.0,70.0,20.0,5.0,5,1.35,1,80000000.0
9.0,4.0,160.0,96.0,16.0,2.0,6,1.54,1,85000000.0
5.0,4.0,145.2,20.0,18.7,7.0,14,3.93,1,87000000.0
12.0,4.0,138.2,10.0,18.1,26.0,41,7.14,1,137000000.0
5.0,4.0,155.8,45.2,19.5,12.0,21,5.0,1,150000000.0
11.0,4.0,233.0,119.9,25.9,5.0,8,1.42,1,240000000.0
3.0,4.0,238.0,122.5,26.3,7.0,7,1.98,1,239000000.0
12.0,4.0,172.0,107.0,9.0,5.0,9,3.43,1,240000000.0
7.0,4.0,237.0,175.0,26.2,15.0,15,3.46,1,300000000.0
18.0,4.0,189.2,97.8,22.3,9.0,32,11.08,1,85000000.0
9.0,4.0,170.0,140.0,25.0,6.0,14,3.46,1,84800000.0
3.0,4.0,140.0,77.0,8.0,5.0,9,3.43,1,153000000.0
8.0,4.0,149.0,77.5,19.0,6.0,27,3.06,1,160000000.0
7.0,4.0,158.0,82.0,19.7,12.0,21,3.46,1,163000000.0
7.0,4.0,136.0,102.0,20.0,19.0,21,3.46,1,243250000.0
15.0,4.0,100.0,30.0,14.9,23.0,25,6.55,1,52500000.0
8.0,4.0,162.1,15.0,20.1,8.0,9,4.8,1,202625000.0
8.0,4.0,201.6,83.0,47.2,1.0,7,4.8,1,400000000.0
7.0,4.0,207.0,106.8,23.8,6.0,8,0.94,1,450000000.0
6.0,4.0,200.5,140.0,20.0,8.0,8,3.21,1,119000000.0
12.0,4.0,136.5,94.7,7.3,23.0,41,7.14,1,120000000.0
8.0,4.0,181.4,15.0,21.6,22.0,53,5.5,1,159500000.0
2.0,4.0,97.0,9.2,14.7,7.0,7,5.91,1,32700000.0
11.0,4.0,134.3,63.0,28.0,35.0,38,10.03,1,47000000.0
28.0,4.0,98.0,56.0,15.0,5.0,14,8.35,1,51988700.0
10.0,4.0,157.0,20.0,19.6,2.0,3,2.56,1,74000000.0
5.0,4.0,141.3,98.0,20.0,11.0,13,1.98,1,98500000.0
10.0,4.0,226.2,155.0,30.0,15.0,22,7.14,1,109990000.0
8.0,4.0,200.0,15.0,23.2,7.0,8,2.8,1,119000000.0
11.0,4.0,178.0,119.6,11.6,6.0,12,4.8,1,235000000.0
10.0,4.0,102.0,53.7,15.1,7.0,22,7.48,1,42200000.0
8.0,4.0,95.6,68.5,9.0,3.0,8,8.82,1,48500000.0
5.0,4.0,95.8,55.0,13.0,9.0,14,8.35,1,48999000.0
4.0,4.0,132.3,69.0,17.6,6.0,8,1.98,1,80900000.0
2.0,4.0,168.0,103.0,15.0,4.0,6,1.76,1,119000000.0
14.0,4.0,143.0,74.4,18.5,6.0,7,2.68,1,150000000.0
13.0,4.0,89.8,56.1,8.2,3.0,14,13.73,1,18800000.0
6.0,4.0,102.4,75.0,19.0,14.0,20,11.08,1,47900000.0
3.0,4.0,215.0,150.0,20.0,8.0,10,1.98,1,91200000.0
2.0,4.0,167.8,104.0,10.0,4.0,5,1.76,1,120000000.0
